name,category,standard_unit,calories_per_100g,protein_per_100g,carbs_per_100g,fat_per_100g,fiber_per_100g,estimated_shelf_life_days,storage_type
"Onions, red, raw",Vegetables and Vegetable Products,onion,44.0,0.94,9.93,0.1,2.2,,
"Onions, yellow, raw",Vegetables and Vegetable Products,onion,38.0,0.83,8.61,0.05,1.9,,
"Bananas, overripe, raw",Fruits and Fruit Juices,banana,85.0,0.73,20.1,0.22,1.7,,
"Bananas, ripe and slightly ripe, raw",Fruits and Fruit Juices,banana,97.0,0.74,23.0,0.29,1.7,,
"Garlic, raw",Vegetables and Vegetable Products,g,143.0,6.62,28.2,0.38,2.7,,
"Flour, soy, defatted",Legumes and Legume Products,g,366.0,51.1,32.9,3.33,,,
"Flour, soy, full- fat",Legumes and Legume Products,g,452.0,38.6,27.9,20.7,,,
"Flour, rice, brown",Cereal Grains and Pasta,g,365.25,7.19,75.5,3.85,,,
"Flour, rice, glutinous",Cereal Grains and Pasta,g,358.0,6.69,80.1,1.16,,,
"Flour, pastry, unenriched, unbleached",Cereal Grains and Pasta,g,358.0,8.75,77.2,1.64,,,
"Onions, white, raw",Vegetables and Vegetable Products,g,35.0,0.89,7.68,0.13,1.2,,
"Apples, red delicious, with skin, raw",Fruits and Fruit Juices,g,62.0,0.19,14.8,0.21,2.0,,
"Apples, honeycrisp, with skin, raw",Fruits and Fruit Juices,g,60.0,0.1,14.7,0.1,1.7,,
"Apples, granny smith, with skin, raw",Fruits and Fruit Juices,g,59.0,0.27,14.2,0.14,2.5,,
"Apples, gala, with skin, raw",Fruits and Fruit Juices,g,61.0,0.13,14.8,0.15,2.1,,
"Apples, fuji, with skin, raw",Fruits and Fruit Juices,g,65.0,0.15,15.7,0.16,2.1,,
